"","cellids","conf1","conf2","conf3"
"191","D326","unassigned","unassigned","2"
"192","D372","unassigned","unassigned","2"
"193","D322","unassigned","unassigned","2"
"194","D363","3","1","2"
"195","D339","unassigned","unassigned","2"
"196","D353","3","1","2"
"197","D354","3","1","2"
"198","D372","3","1","2"
"199","D367","3","unassigned","2"
"200","D363","unassigned","1","2"
"201","D353","unassigned","unassigned","2"
"202","D322","unassigned","unassigned","2"
"203","D363","unassigned","unassigned","2"
"204","D344","unassigned","unassigned","2"
"205","D322","unassigned","unassigned","2"
"206","D367","unassigned","unassigned","2"
"207","D367","unassigned","unassigned","2"
"208","D339","unassigned","unassigned","2"
"209","D372","unassigned","unassigned","2"
"210","D339","3","1","2"
"211","D353","3","1","2"
"212","D367","unassigned","unassigned","2"
"213","D354","unassigned","1","2"
"214","D354","doublet","unassigned","2"
"215","D322","3","1","2"
"216","D372","unassigned","unassigned","2"
"217","D372","unassigned","unassigned","2"
"218","D322","unassigned","unassigned","2"
"219","D372","unassigned","unassigned","2"
"220","D353","unassigned","unassigned","2"
"221","D372","unassigned","unassigned","2"
"222","D363","unassigned","unassigned","unassigned"
"223","D363","unassigned","unassigned","2"
"224","D353","unassigned","unassigned","unassigned"
"225","D367","unassigned","unassigned","unassigned"
"226","D367","3","1","2"
"227","D326","unassigned","unassigned","2"
"228","D372","3","1","2"
"229","D353","unassigned","unassigned","2"
"230","D354","unassigned","unassigned","2"
"231","D353","3","1","2"
"232","D372","3","1","2"
"233","D367","unassigned","unassigned","2"
"234","D367","unassigned","1","2"
"235","D363","3","1","2"
"236","D322","unassigned","1","2"
"237","D354","unassigned","unassigned","2"
"238","D372","unassigned","unassigned","2"
"239","D353","unassigned","unassigned","2"
"240","D372","unassigned","1","2"
"241","D353","3","1","2"
"242","D372","unassigned","unassigned","2"
"243","D363","unassigned","unassigned","2"
"244","D344","unassigned","unassigned","2"
"245","D353","unassigned","unassigned","2"
"246","D354","unassigned","unassigned","2"
"247","D372","3","unassigned","2"
"248","D367","unassigned","unassigned","2"
"249","D372","3","1","2"
"250","D339","unassigned","unassigned","2"
"251","D363","unassigned","unassigned","2"
"252","D353","unassigned","unassigned","2"
"253","D322","unassigned","unassigned","2"
"254","D353","unassigned","unassigned","2"
"255","D354","3","1","2"
"256","D354","unassigned","unassigned","2"
"257","D372","3","1","2"
"258","D353","unassigned","1","2"
"259","D354","3","1","2"
"260","D354","3","1","2"
"261","D339","3","1","2"
"262","D339","unassigned","unassigned","2"
"263","D372","3","1","2"
"264","D353","3","1","2"
"265","D372","3","1","2"
"266","D372","unassigned","unassigned","2"
"267","D363","3","1","2"
"268","D353","unassigned","unassigned","2"
"269","D353","unassigned","unassigned","2"
"270","D372","3","1","2"
"271","D353","3","1","2"
"272","D354","unassigned","unassigned","2"
"273","D326","unassigned","unassigned","2"
"274","D326","unassigned","unassigned","2"
"275","D363","unassigned","unassigned","2"
"276","D354","unassigned","unassigned","unassigned"
"277","D372","3","1","2"
"278","D339","3","1","2"
"279","D363","3","1","2"
"280","D353","unassigned","1","2"
"281","D326","3","1","2"
"282","D363","3","1","2"
"283","D363","unassigned","unassigned","2"
"284","D353","unassigned","unassigned","2"
"285","D354","unassigned","unassigned","2"
"286","D372","3","unassigned","2"
"287","D363","3","1","2"
"288","D337","unassigned","unassigned","unassigned"
"289","D372","unassigned","unassigned","2"
"290","D353","3","1","2"
"291","D354","unassigned","unassigned","2"
"292","D367","unassigned","unassigned","2"
"293","D372","3","1","2"
"294","D354","3","1","2"
"295","D326","3","1","2"
"296","D372","unassigned","unassigned","2"
"297","D353","unassigned","unassigned","2"
"298","D367","3","1","2"
"299","D372","unassigned","unassigned","2"
"300","D339","unassigned","unassigned","2"
"301","D339","unassigned","unassigned","2"
"302","D353","unassigned","unassigned","2"
"303","D353","unassigned","unassigned","2"
"304","D354","unassigned","unassigned","2"
"305","D339","3","1","2"
"306","D322","unassigned","unassigned","2"
"307","D353","unassigned","unassigned","2"
"308","D353","3","1","2"
"309","D372","3","1","2"
"310","D354","unassigned","unassigned","2"
"311","D372","3","1","2"
"312","D339","3","unassigned","2"
"313","D353","3","unassigned","2"
"314","D322","3","1","2"
"315","D326","unassigned","unassigned","2"
